"Object Number","Object Level","Object Identifier","Absolute Number","Object Text","Object Heading","Object Type","pod_tags"
1,1,1,1,,"Allgemeines","heading","CHAPTER_GENERAL"
"1.1",2,6,6,,"Einleitung","heading","CHAPTER_INTRODUCTION"
"1.1.0-1",3,7,7,"Dieses Dokument beschreibt ein Komponentenübergreifendes System.",,"information","EXPLANATION"
"1.1.0-2",3,8,8,"Die hier wiedergegebenen Inhalte dienen lediglich dem Verständnis des Gesamtsystems.",,"information","EXPLANATION"
"1.1.0-3",3,9,9,"Dieses Dokument ist Grundlage für einen Funktionstest.",,"information","EXPLANATION"
"1.1.0-4",3,10,10,"Die verbindliche Spezifikation der am System beteiligten Komponenten geschieht durch gesonderte Komponentenlastenhefte.",,"information","EXPLANATION"
"1.2",2,29,29,,"Ansprechpartner","heading","CHAPTER_CONTACT_PERSONS"
"1.2.0-1",3,30,30,"Name: Vorname Nachname
Abteilung: AF/FSF
EMail: vorname.nachname@domain.com",,"information","CONTACT_PERSON"
2,1,2,2,,"Anforderungen an das System","heading","CHAPTER_SYSTEM_REQUIREMENTS"
"2.1",2,11,11,,"Kurzbeschreibung","heading","CHAPTER_SYSTEM_DESCRIPTION"
"2.1.0-1",3,28,28,"Das System Window Lift steuert die Fensterheben.",,"information","SYSTEM_DESCRIPTION"
"2.2",2,12,12,,"Funktionale Sicherheit","heading","CHAPTER_FUNCTIONAL_SAFETY"
"2.3",2,13,13,,"Funktionsbeschreibung","heading","CHAPTER_FUNCTIONAL_DESCRIPTION"
"2.3.1",3,32,32,,"Funktion ""Fenster senken/heben""","heading","CHAPTER_VEHICLE_FUNCTION"
"2.3.1.0-1",4,44,44,"Der Schalter für ein Fenster wird normal (ein Klick) in eine Richtung gedrückt. Daraufhin wird das Fenster entsprechend der Richtung gesenkt / gehoben.",,"requirement","DESCRIPTION"
"2.3.1.0-2",4,45,45,"Wird der Schalter losgelassen, stoppt der Hebe- bzw. Senkvorgang.",,"requirement","DESCRIPTION"
"2.3.1.1",4,39,39,,"Voraussetzungen","heading","CHAPTER_PREREQUISITES"
"2.3.1.1.0-1",5,46,46,"Klemme 15 ein",,"requirement","PREREQUISITE"
"2.3.1.2",4,40,40,,"Vorbedingungen","heading","CHAPTER_PRECONDITIONS"
